,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
            Uruguay,237,236,233,246,254,257,240,222,234,221,196,195,179,149,124,96,70,48,25,9,2
            Venezuela,   2 363,   2 731,   2 658,   2 501,   2 102,   2 029,   2 064,   1 964,   1 868,   1 697,   1 600,   1 415,   1 177,865,604,386,227,119,49,15,3
      Australia/New Zealand,   1 971,   1 953,   1 932,   1 823,   1 919,   2 128,   2 200,   2 138,   1 907,   1 991,   1 870,   1 866,   1 700,   1 473,   1 297,911,620,384,184,49,5
         Australia,   1 670,   1 639,   1 611,   1 520,   1 595,   1 781,   1 875,   1 843,   1 629,   1 677,   1 558,   1 549,   1 419,   1 233,   1 083,763,523,329,157,42,4
         New Zealand,301,314,322,303,324,347,324,295,278,313,312,317,282,240,214,148,97,55,27,6,1
      Oceania (excluding Australia and New Zealand),   1 483,   1 403,   1 335,   1 231,   1 123,975,874,806,710,614,517,428,332,239,147,81,39,14,3,0,0
         Melanesia,   1 362,   1 284,   1 215,   1 120,   1 019,883,790,730,641,543,449,368,284,202,124,67,31,10,2,0,0
            Fiji,89,88,83,75,72,70,67,68,57,49,47,44,34,23,15,8,4,1,0,0,0
            New Caledonia,20,22,22,21,23,20,21,21,20,21,18,17,13,10,8,5,3,1,0,0,0
            Papua New Guinea,   1 107,   1 043,994,924,837,717,637,584,511,428,349,280,217,155,90,47,20,6,1,0,0
            Solomon Islands,103,93,79,70,61,51,43,39,37,32,23,18,13,10,7,5,2,1,0,0,0
            Vanuatu,42,39,37,30,26,25,23,18,16,13,12,9,7,5,3,2,1,0,0,0,0
         Micronesia,54,53,54,49,49,43,38,33,30,30,30,27,22,16,11,5,3,2,0,0,0
            Guam,14,13,13,14,14,13,12,10,10,10,10,10,8,6,5,3,2,1,0,0,0
            Kiribati,15,14,13,10,11,10,9,8,6,5,5,5,3,2,1,1,0,0,0,0,0
            Micronesia (Fed. States of),12,12,12,11,12,11,8,7,6,5,5,5,4,3,1,1,0,0,0,0,0
         Polynesia,68,65,67,61,56,49,46,43,40,41,39,33,26,20,13,9,5,2,1,0,0
            French Polynesia,20,20,23,21,21,19,23,21,19,21,19,17,13,10,6,5,2,1,0,0,0
            Samoa,27,24,23,19,17,15,12,10,10,10,9,8,6,4,3,2,1,0,0,0,0
            Tonga,12,12,12,11,10,7,6,6,5,5,5,4,3,2,2,1,1,0,0,0,0
      Europe and Northern America,   60 746,   62 781,   63 330,   61 134,   63 608,   71 616,   78 069,   77 206,   75 024,   74 451,   74 529,   77 063,   72 141,   63 019,   51 202,   36 158,   28 386,   16 234,   7 607,   1 972,230
         Europe,   39 070,   40 751,   40 249,   37 895,   38 978,   45 039,   52 382,   52 931,   52 260,   52 006,   51 518,   52 751,   48 900,   43 042,   35 049,   25 200,   21 108,   11 802,   5 303,   1 276,125
            Eastern Europe,   16 577,   17 131,   16 046,   13 989,   13 983,   18 293,   23 803,   23 310,   22 116,   20 386,   18 040,   19 971,   20 049,   17 683,   12 068,   7 594,   7 134,   3 195,   1 387,243,19
               Belarus,548,596,485,444,425,652,814,716,653,633,592,754,665,578,270,256,219,101,42,6,0
               Bulgaria,313,337,371,315,299,390,481,477,535,527,477,468,467,455,425,286,192,101,28,5,0
               Czechia,559,555,574,488,471,634,717,761,930,868,694,657,644,681,613,418,235,144,54,11,0
               Hungary,461,447,483,486,518,634,612,645,815,774,648,553,636,670,476,371,240,132,46,13,1
